,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
10459,مبادىء الطب النفسي,كامل محمد محمد عويضة,,200,1997,دار الفارابي للنشر والتوزيع,غلاف عادي,الفلسفة,علم المنطق,12.38
10460,المنطق الواضح في شرح السلم المنورق,عبد الرحمن الأخضري,يتحدث هذا الكتاب عن المنطق الواضح وهو العلم الذي تؤمن مراعاة قواعده عصمة الفكر عن الخطأ. وقد اهتم علماؤنا بهذا العلم لما له من فائدة قيمة في بيان  قواعد التعريف والاستدلال والبحث العلمي السليم، وما لذلك من أهمية بالغة في عمليات الاستنتاج واستنباط الأحكام وتحصيل المعلومات على الوجه السليم. عرضقواعد التعريف والاستدلال والبحث العلمي السليم، وما لذلك من أهمية بالغة في عمليات الاستنتاج واستنباط الأحكام وتحصيل المعلومات على الوجه السليم.,104,1983,المؤسسة العربية للدراسات والنشر,غلاف عادي,الفلسفة,علم المنطق,112.51
10461,طريقة التحليل النفسي والعقيدة الفرويدية,رولان دالبيير,عنوان هذا الكتاب يدل على أنه كتاب علمي يبحث طريقة التحليل النفسي والعقيدة الفرويدية، باعتبار أن نظرية فرويد المشهورة في هذا الموضوع أصبحت عقيدة له ا أتباع وخصوم. وهو في مجمله يحتوي على ثمانية فصول موضوع الفصل الأول منها سيكوباتولوجية الحياة اليومية وهو بدوره مقسم إلى ثلاثة أبحاث تتناول بالتحليل مواضيع فقدان الكبت والكبت غير التام والكبت التام.وموضوع الفصل الثاني هو الحلم، وفيه دراسة مستفيضة عن الحلم قبل فرويد وبعده وسرد لعناصر الحلم ومصادره وآليات إعداده. والفصل الثالث يتحدث عن الحياة الجنسية ومراحلها وأنواع الانحرافات وأسبابها.أما الفصل ا لرابع فموضوعه النظرية العامة للعصابات ويشرح سيكولوجيتها وأسبابها ثم يختم بالعلاجات التحليلية لها، مكرساً الفصل الخامس لعصابات أخرى ومنها الهستريا والعصاب والوسواسي والصرع النفسي.أما الفصول الثلاثة الأخيرة فتتناول العته المبكرة والهوس الاكتئابي والآلية العقلية وفي الختام شرح عن بنية الجهاز النفسي. عرضا أتباع وخصوم. وهو في مجمله يحتوي على ثمانية فصول موضوع الفصل الأول منها سيكوباتولوجية الحياة اليومية وهو بدوره مقسم إلى ثلاثة أبحاث تتناول بالتحليل مواضيع فقدان الكبت والكبت غير التام والكبت التام.وموضوع الفصل الثاني هو الحلم، وفيه دراسة مستفيضة عن الحلم قبل فرويد وبعده وسرد لعناصر الحلم ومصادره وآليات إعداده. والفصل الثالث يتحدث عن الحياة الجنسية ومراحلها وأنواع الانحرافات وأسبابها.أما الفصل ا لرابع فموضوعه النظرية العامة للعصابات ويشرح سيكولوجيتها وأسبابها ثم يختم بالعلاجات التحليلية لها، مكرساً الفصل الخامس لعصابات أخرى ومنها الهستريا والعصاب والوسواسي والصرع النفسي.أما الفصول الثلاثة الأخيرة فتتناول العته المبكرة والهوس الاكتئابي والآلية العقلية وفي الختام شرح عن بنية الجهاز النفسي.,420,1985,دار الفكر المعاصر,غلاف عادي,الفلسفة,علم المنطق,11.25
10462,مشاكلنا النفسية,معروف زريق,,208,1998,مؤسسة الوفاء,غلاف عادي,الفلسفة,علم المنطق,11.25
10463,الموجز في المنطق,صادق الحسيني الشيرازي,,112,1990,دار الجيل للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,علم المنطق,15.0
10464,علم الفراسة الحديث,جرجي زيدان,يتناول الكتاب علم الفراسة، من حيث كونه طريقة للاستدلال بالخلق الظاهر على الخلق الباطن. يحث في تاريخه وينتقل إلى فراسة الأمزجة ودلائلها وأنواعها عل ى رأي القدماء وعلى رأي السحدثين، وتكلم عن زاوية الوجه وشكله ونسبة ذلك إلى الأخلاق، ثم عمد إلى فراسة الأعضاء ب عرضى رأي القدماء وعلى رأي السحدثين، وتكلم عن زاوية الوجه وشكله ونسبة ذلك إلى الأخلاق، ثم عمد إلى فراسة الأعضاء ب,208,1994,دار الفكر اللبناني / دار النديم,غلاف عادي,الفلسفة,علم المنطق,22.5
10465,منطق ابن زرعة (العبارة، القياس، البرهان),ابن زرعة,,312,1996,دار الكتب العلمية,غلاف عادي,الفلسفة,علم المنطق,11.25
10466,الصحة في منظور علم النفس,كامل محمد محمد عويضة,,256,1998,دار الفكر العربي للطباعة والنشر,غلاف عادي,الفلسفة,علم المنطق,11.25
10467,علم فراسة الوجه,خيرية حديب,,168,1998,دار الطليعة للطباعة والنشر,غلاف عادي,الفلسفة,علم المنطق,33.75
10468,الطفل وجسم المرأة,علي أفرفار,,192,1999,دار الفارابي للنشر والتوزيع,غلاف عادي,الفلسفة,علم المنطق,20.63
10469,سيكولوجيا القهر والإبداع,ماجد  ابراهيم,ينطلق الكتاب من التساؤل الأساسي الذي يقول: إذا أزلنا كل الظروف القاهرة الخارجية، هل يمكننا أن نعد الإنسان بحياة مطلقة الحرية وبالغة التلقائية؟. ثم يطرح مجموعة من الأسئلة من مثل: ما هي علاقة الابداع بكل من الوظائف الفسيولوجية للمخ.. الخوف من الموت… حياة القطع؟… كيف تُلْقَي العلاقة الحميمة بين الطفل وأمه بظلالها على الموقف الإبداعي للإنسان في الحياة؟.. «الجنون فنون»… ما مدى صدق هذه المقولة؟ ولماذا يرتبط النبوغ بالاضطرابات النفسية؟… هل تكفي إجابات هذه الأسئلة لكشف المستور في خبايا النفس وفي تعقيد العملية الابداعية؟.. هل تكفي لبث تيار من الثقة في النفس والأمل في المستقبل وفي التحريض على التقدم؟.. هذا ما يخبرنا عنه الكتاب. عرضيطرح مجموعة من الأسئلة من مثل: ما هي علاقة الابداع بكل من الوظائف الفسيولوجية للمخ.. الخوف من الموت… حياة القطع؟… كيف تُلْقَي العلاقة الحميمة بين الطفل وأمه بظلالها على الموقف الإبداعي للإنسان في الحياة؟.. «الجنون فنون»… ما مدى صدق هذه المقولة؟ ولماذا يرتبط النبوغ بالاضطرابات النفسية؟… هل تكفي إجابات هذه الأسئلة لكشف المستور في خبايا النفس وفي تعقيد العملية الابداعية؟.. هل تكفي لبث تيار من الثقة في النفس والأمل في المستقبل وفي التحريض على التقدم؟.. هذا ما يخبرنا عنه الكتاب.,218,1998,دار الجيل للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,علم المنطق,20.63
10470,الفشل : أسبابه ونتائجه من زاوية التحليل النفسي,لا يوجد,,256,1982,دار الطليعة للطباعة والنشر,غلاف عادي,الفلسفة,علم المنطق,15.0
10471,قلق في الحضارة,سيغموند فرويد,"في قلق في الحضارة يتابع فرويد المشروع الذي كان قد بدأه في مستقبل وهم، فينتقل من نقد الدين إلى نقد الحضارة تحت شعار ""لا يجوز لسلطة أن تعلو فوق سلطة العقل"".والسؤال الذي يحاول فرويد أن يجيب عليه في هذا الكتاب هو: ""لماذا لا يحظى الإنسان بالسعادة التي ينشدها مهما قارب أن يكون إلها؟"" وفي الإجابة على هذا السؤال، يتكشف لنا وجه جديد وغير معروف كثيراً لفرويد: وجه الفيلسوف الذي يعيد النظر في كل القيم ولا تقف جرأة تنقيبه عند حد. عرضالعقل"".والسؤال الذي يحاول فرويد أن يجيب عليه في هذا الكتاب هو: ""لماذا لا يحظى الإنسان بالسعادة التي ينشدها مهما قارب أن يكون إلها؟"" وفي الإجابة على هذا السؤال، يتكشف لنا وجه جديد وغير معروف كثيراً لفرويد: وجه الفيلسوف الذي يعيد النظر في كل القيم ولا تقف جرأة تنقيبه عند حد.",120,1999,عويدات للنشر والطباعة,غلاف ورقي,الفلسفة,علم المنطق,30.0
10472,الارتياب والشك,جيرالد برونر,,112,1992,المكتبة الثقافية,غلاف عادي,الفلسفة,علم المنطق,13.13
10473,الدراسة في علم الفراسة,عبد الفتاح السيد الطوخي,,151,1999,دار الراتب الجامعية,غلاف عادي,الفلسفة,علم المنطق,45.0
10474,تصميم البحوث النفسية والاجتماعية والتربوية,عبد الرحمن العيسوي,,344,0,دار الثقافة للنشر والتوزيع,غلاف عادي,الفلسفة,علم المنطق,37.5
10475,مدخل إلى الطب النفسي,الزين عباس عمارة,,496,1991,مؤسسة البلاغ للطباعة والنشر والتوزيع,غلاف عادي,الفلسفة,علم المنطق,15.0
10476,المنطق ومناهج البحث,المجمع العلمي الإسلامي,,150,1986,دار الفكر المعاصر,غلاف عادي,الفلسفة,علم المنطق,11.25
10477,خفايا المراهقة,معروف زريق,,144,1990,المؤسسة الجامعية للدراسات والنشر والتوزيع,غلاف ورقي,الفلسفة,علم المنطق,15.0
10478,علاقة القلق بالترتيب الذهني,دحام الكيال,,96,1991,دار الفكر اللبناني / دار النديم,غلاف عادي,الفلسفة,علم المنطق,22.5
10479,التحليل النفسي للذات الإنسانية,فيصل عباس,إن أفكار فرويد هي النتيجة المنطقية لتطور نظرية التحليل النفسي ولمقوماتها الأساسية. فالتأكيد على الحتمية النفسية والبيولوجية، وحتمية اللاوعي والكبت ، وعلى عالمية الأوديب، تشكل جميعاً الأساس الذي تقوم عليه الفرويديةلم يكن فرويد يهدف إلى حصر مذهب التحليل النفسي في نطاق علاج الاضطرابات النفسية فقط، بل أراد له أن يكون فلسفة سيكولوجية شاملة تفسر السلوك الإنساني كما تفسر أيضاً حركة التاريخ، والمجتمع، والحضارة.لقد تجاوزت النظريات التحليلة النفسية أطر التقنية والعلاج إلى البحث عن استلاب الذات الإنسانية ومعاناة الإنسان في الحضارة المعاصرة.يتناول هذا الكتاب موضوع فلسفة التحليل النفسي على مستويين: (1)دراسة تطور بنيوية الشخصية، أي دينامية العالم الداخلي -النفسي للإنسان. (2)دراسة التطور التاريخي للمجتمعات البشرية، أي قضايا الإنسان والحضارة. عرض، وعلى عالمية الأوديب، تشكل جميعاً الأساس الذي تقوم عليه الفرويدية...لم يكن فرويد يهدف إلى حصر مذهب التحليل النفسي في نطاق علاج الاضطرابات النفسية فقط، بل أراد له أن يكون فلسفة سيكولوجية شاملة تفسر السلوك الإنساني كما تفسر أيضاً حركة التاريخ، والمجتمع، والحضارة.لقد تجاوزت النظريات التحليلة النفسية أطر التقنية والعلاج إلى البحث عن استلاب الذات الإنسانية ومعاناة الإنسان في الحضارة المعاصرة.يتناول هذا الكتاب موضوع فلسفة التحليل النفسي على مستويين: (1)دراسة تطور بنيوية الشخصية، أي دينامية العالم الداخلي -النفسي للإنسان. (2)دراسة التطور التاريخي للمجتمعات البشرية، أي قضايا الإنسان والحضارة.,248,2008,مؤسسة البلاغ للطباعة والنشر والتوزيع,غلاف كرتوني,الفلسفة,علم المنطق,26.25
10480,علم المنطق : لطلاب الحوزات العلمية والجامعات,رؤوف سبهاني,,200,2008,حوزة الهدى للدراسات الإسلامية,غلاف كرتوني,الفلسفة,علم المنطق,52.5
10481,أساسيات المنطق,محمد صنقور علي البحراني,,532,1996,دار الكتب العلمية,غلاف عادي,الفلسفة,علم المنطق,11.25
10482,علم نفس النمو,كامل محمد محمد عويضة,,216,1993,جروس برس ناشرون,غلاف عادي,الفلسفة,علم المنطق,26.25
10483,الفراسة وقراءة الأفكار,هيكل نعمة الله,,144,1994,دار الكتب العلمية,غلاف كرتوني,الفلسفة,علم المنطق,37.5
10484,المنخل : مختصر إصلاح المنطق,أبو القاسم المغربي,"كتاب في علم اللغة، فإن كتاب "" اصلاح المنطق "" لابن السكيت من الكتب التي نالت شهرة واسعة، وقصد فيه ابن السكيت الى اصلاح نطق العربية الفصحى على ألسنة المثقفين وقد اعجب الوزير ابو القاسم المغربي بالكتاب وراقته مادته العلمية، فقام بإعادة تبويبه وترتيبه في كتاب عرضالمثقفين وقد اعجب الوزير ابو القاسم المغربي بالكتاب وراقته مادته العلمية، فقام بإعادة تبويبه وترتيبه في كتاب",368,2007,دار الكتب العلمية,غلاف ورقي,الفلسفة,علم المنطق,11.25
10485,الضوء المشرق على سلم المنطق : للأخضري,محمد الشنقيطي,كتاب في المنطق يشمل المنطق بصيغته الأرسطية وما أضافه تلامذة أرسطو ما استحدث بعدهم من المنطق الرمزي والرياضي والجبري اللورغارتيمي ، وماهذبه المسلمو ن من .نتائج ذلك كله عرضن من .نتائج ذلك كله,160,2010,دار الكتب العلمية,غلاف ورقي,الفلسفة,علم المنطق,11.25
10486,منطق المشرقيين ويليه : الأرجوزة المزدوجة في المنطق,ابن سينا,مؤلفان في علم المنطق يعدان من اهم مؤلفات الشيخ الرئيس ابن سينا الاول منطق المشرقيين الذي يعد من اصول الكتب التي بنيت اصول علم المنطق والكتاب الثان ي يضم .الارجوزة المزدوجة في علم المنطق عرضي يضم .الارجوزة المزدوجة في علم المنطق,128,2006,دار النجوى,غلاف عادي,الفلسفة,علم المنطق,52.5
10487,Droit et philosophie,Georges Saad,,224,2007,دار التنوير للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,فلسفة العلوم,22.5
10488,العقل في التاريخ : من محاضرات في فلسفة التاريخ - المجلد الأول,هيجل,"ما الذي يبرر، الآن، إصدار سلسلة باسم ""المكتبة الهيجلية""؟ ولم هيجل بالذات من بين كافة مفكري الغرب نخصه بسلسلة تستهدف، أولاً، تقديم مؤلفاته والدراسا ت الرئيسية الهامة التي تتمحور حول فكره إلى اللغة العربية وتستهدف ثانياً تنشيط الدراسات العربية في مجال حقل ال عرضت الرئيسية الهامة التي تتمحور حول فكره إلى اللغة العربية وتستهدف ثانياً تنشيط الدراسات العربية في مجال حقل ال",196,1990,الدار الجماهيرية للنشر والتوزيع والاعلان,غلاف عادي,الفلسفة,فلسفة العلوم,30.0
10489,تقريظ العلم,نجيب الحصادي,,159,2009,دار التنوير للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,فلسفة العلوم,56.25
10490,فلسفة العلم في القرن العشرين,دونالد جيلنز,"إن فلسفة العلم ليست، كما يبدو للوهلة الأولى، مبحثاً ضئيل الشأن، ولا صاحبها باحثاً معزولاً في ""برج عاجي"" بل إن قضايا العلم كثيراً ما تمسّ مجالات ال سياسة والدين مسّاً مباشراً، وبالتالي فهي تبعث الروح وتجدد الحيوية لهذه المجالات. ومن هنا تأتي أهمية هذا الكت عرضسياسة والدين مسّاً مباشراً، وبالتالي فهي تبعث الروح وتجدد الحيوية لهذه المجالات. ومن هنا تأتي أهمية هذا الكت",560,2007,دار الفكر المعاصر,غلاف ورقي,الفلسفة,فلسفة العلوم,13.13
10491,في أسرار الوعي,مصطفى جولي,تناول هذا الكتاب العلاقة ما بين البنى التشريحية للدماغ ووظائفها بهدف تعقل هذه الوظائف، وهو ما يوحي إلى فهم الوعي فهماً نسيجياً. وهو يبيّن كذلك أن  برامج الدماغ تتأسس بالتصويب المستمر، أي أن الدماغ عضو يتطور بالفعل، أي إنه لم يكن مصمماً ولا مبرمجاً بشكل نها عرضبرامج الدماغ تتأسس بالتصويب المستمر، أي أن الدماغ عضو يتطور بالفعل، أي إنه لم يكن مصمماً ولا مبرمجاً بشكل نها,119,2018,مركز دراسات الوحدة العربية,غلاف ورقي,الفلسفة,فلسفة العلوم,78.76
10492,مدخل الى فلسفة العلوم العقلانية المعاصرة وتطور الفكر العلمي,محمد الجابري,تكتسي الدراسات الابيستيمولوجية-التي تتناول قضايا المعرفة عامة والفكر العلمي خاصة-أهمية بالغة في الوقت الحاضر. بل يمكن القول أنها الميدان الرئيسي ا لذي يستقطب الأبحاث الفلسفية في القرن العشرين. يأتي الكتاب في هذا الإطار ليفتح نافذة على الفكر العلمي المعاصر عرضلذي يستقطب الأبحاث الفلسفية في القرن العشرين. يأتي الكتاب في هذا الإطار ليفتح نافذة على الفكر العلمي المعاصر,477,2005,دار النجوى,غلاف عادي,الفلسفة,فلسفة العلوم,37.5
10493,نصوص في فلسفة القانون,بجارن ملكفيك,,239,2007,دار النجوى,غلاف عادي,الفلسفة,فلسفة العلوم,30.0
10494,أضواء على فلسفة القانون؛ إسهام في بناء مشروع قانوني حديث,بجارن ملكفيك,"يشتمل هذا الكتاب على نصوص في فلسفة القانون في مواضيع مختلفة من مثل التسامح والحداثة وسرعة العطب وإستقلالية القانون ومفهومات Concepts الشخص والكرام ة، وكذلك مفاهيم البراءة والقدر وعقدة الذنب، إلخينفذ ""بجارن"" من القانون ومن فلسفة القانون لطرح إشكاليات إجتماعية لم يعتد عليها كثيراً العاملون في القانون: أياً يكن من أمر، يكتب ""بجارن""، ما يجب أن يأخذ إهتمامنا في هذه العلاقة بين التشريعات المتعلقة بالتضامن والدولة الراعية هو إيجاد حلول جذرية عبر تشريع تضامني للمرضى، والعاطلين عن العمل، والمتقاعدين، والذين دون مسكن، إلخيخال لنا هنا أن ""بجارن"" يساري من الطراز الاول، والحال أنه ليس كذلك: هو ليبرالي على طريقته، وإنساني بإمتياز؛ هو برأيي من فصيل هؤلاء الكهنة والمشايخ المناضلين ضد الجوع ومن أجل المساواة بين البشر والذي نعرف منهم الألوف في الإسلام والمسيحية واليهودية والبوذية وغير ذلك من الديانات التي لا تعد ولا تحصى. عرضة، وكذلك مفاهيم البراءة والقدر وعقدة الذنب، إلخ...ينفذ ""بجارن"" من القانون ومن فلسفة القانون لطرح إشكاليات إجتماعية لم يعتد عليها كثيراً العاملون في القانون: أياً يكن من أمر، يكتب ""بجارن""، ما يجب أن يأخذ إهتمامنا في هذه العلاقة بين التشريعات المتعلقة بالتضامن والدولة الراعية... هو إيجاد حلول جذرية عبر تشريع تضامني للمرضى، والعاطلين عن العمل، والمتقاعدين، والذين دون مسكن، إلخ...يخال لنا هنا أن ""بجارن"" يساري من الطراز الاول، والحال أنه ليس كذلك: هو ليبرالي على طريقته، وإنساني بإمتياز؛ هو برأيي من فصيل هؤلاء الكهنة والمشايخ المناضلين ضد الجوع ومن أجل المساواة بين البشر والذي نعرف منهم الألوف في الإسلام والمسيحية واليهودية والبوذية وغير ذلك من الديانات التي لا تعد ولا تحصى.",248,2008,دار الغدير للدراسات والنشر,غلاف ورقي,الفلسفة,فلسفة العلوم,24.38
10495,علم التاريخ ومناهج المؤرخين,صائب عبد الحميد,,312,2009,دار الهادي للطباعة والنشر والتوزيع,غلاف كرتوني,الفلسفة,فلسفة العلوم,90.01
10496,فلسفة الفن والجمال الإبداع والمعرفة الجمالية,حامد سرمك,,512,2010,دار التنوير للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,فلسفة العلوم,26.25
10497,منهج الاستقراء العلمي,حسين علي,إذا كانت أقدام العلم قد ترسخت اليوم في المجتمعات الغربية، وأصبح يمثل في حياة المجتمعات إتجاهاً ثابتاً يستحيل العدول عنه أو الرجوع فيه، فإننا مازلن ا - على المستوى القومي - أحوج من نكون لروح التفكير العلمي. ومن هنا تأتي أهمية هذا الكتاب الذي نتناول من خلاله عرضا - على المستوى القومي - أحوج من نكون لروح التفكير العلمي. ومن هنا تأتي أهمية هذا الكتاب الذي نتناول من خلاله,244,2011,دار الفكر المعاصر,غلاف ورقي,الفلسفة,فلسفة العلوم,16.88
10498,الإنسان = ذاكرته : ما هي؟...، كيف تعمل؟....، وبماذا تتأثر؟....,مصطفى جولي,-هل صحيح أن الإنسان هو وعاء الذاكرة، فإذا فقدها فقد معنى وجوده؟ -ماذا تفعل إذا احتجت إلى رقم كنت حفظته ضروري ولم تستطع تذكره؟ إلى إسم شخص تقابله ل م تسعفك الذاكرة به؟ إلى فكرة احتفظت بها لم يطاوعك الدماغ بإيصالها إليك باللحظة مناسبة؟ -بعض الناس بفقدون ذاكر عرضم تسعفك الذاكرة به؟ إلى فكرة احتفظت بها لم يطاوعك الدماغ بإيصالها إليك باللحظة مناسبة؟ -بعض الناس بفقدون ذاكر,160,2017,دار الكتاب الجديد,غلاف ورقي,الفلسفة,فلسفة العلوم,22.5
10499,جورج كانغيلام,دومينيك ليكور,كتب ميشال فوكو يقول في جورج كانغيلام (1904-1995) أنه كان أستاذه معتبراً إياه الملهم الخفي لجيل الستينيات في فرنسا. كان كانغيلام الفيلسوف الحاصل عل ى الدكتوراه في الطب ومؤرخ العلوم وفقاً لتقاليد غاستون باشلار قد تعنَّى للتفكير في الرهانات الأيديولوجية لعلوم عرضى الدكتوراه في الطب ومؤرخ العلوم وفقاً لتقاليد غاستون باشلار قد تعنَّى للتفكير في الرهانات الأيديولوجية لعلوم,181,2011,دار التنوير للطباعة والنشر والتوزيع,غلاف ورقي,الفلسفة,فلسفة العلوم,18.75
10500,العلم والإيديولوجيا بين الإطلاق والنسبية,حسين علي,راج الحديث عن حياد العلم وعدم إنحيازه وكأنه يستهدف حقائق مطلقة مجردة ثابتة، وكأن العلم لا وطن له، وذهب أصحاب هذا الرأي إلى حد القول بأن الحقيقة ال علمية تفرض نفسها على العقل في أي مكان أو زمان، بقوة البرهان والمنطق وحدها، أي أن هذه الحقيقة بطبيعتها عالمية، عرضعلمية تفرض نفسها على العقل في أي مكان أو زمان، بقوة البرهان والمنطق وحدها، أي أن هذه الحقيقة بطبيعتها عالمية،,144,1995,دار الغرب الإسلامي,غلاف عادي,الفلسفة,فلسفة العلوم,11.25
10501,تلخيص الكون والفساد,أبي الوليد محمد بن رشد الحفيد,,150,1997,دار النهضة العربية للطباعة والنشر والتوزيع,غلاف كرتوني,الفلسفة,فلسفة العلوم,52.5
10502,قراءات في فلسفة العلوم,"باروخ برودي, نجيب الحصادي",,623,2011,دار الفارابي للنشر والتوزيع,غلاف عادي,الفلسفة,فلسفة العلوم,52.5
10503,مفهوم الحرية في التاريخ,راتب الحوراني,"…وهكذا يأتي كل منا إلى هذه الدنيا بإرادة ما، بمصادفة ما أو بضرورة ما، غير إرادته. ثم تأخذ هذه الإرادة بيده وتجره، أو تدفعه طفلاً على طرقات الحياة  إلى أن يأتي يوم تكون له فيه إرادة ""خاصة"" به فيقف وسط الطريق ويخبط رجله في الأرض قائلاً: ""إلى اين ؟"" ""ولماذا عرضإلى أن يأتي يوم تكون له فيه إرادة ""خاصة"" به فيقف وسط الطريق ويخبط رجله في الأرض قائلاً: ""إلى اين ؟"" ""ولماذا",363,2009,المكتبة العصرية للطباعة والنشر,غلاف كرتوني,الفلسفة,فلسفة العلوم,30.0
10504,أسرار البلاغة,عبد القاهر الجرجاني,,316,1998,المركز الثقافي العربي,غلاف عادي,الفلسفة,فلسفة العلوم,30.0
10505,الضمير والتشريع,عياض ابن عاشور,إن منهجية وأساليب الدولة القسرية لا تقف عند حد الدولة بل تتغلغل في أعماق المجتمع، فليست الدولة وحدها هي المستبدة! المستبد هو الضمير الجماعي. والمس ألة ليست كلها عالقة بإخفاق الدولة التحديثية وفي تحولها إلى دولة حديثة.إن دولة القانون وحقوق الإنسان هي حجر محك الدولة الحديثة. إذ يتجسد محتوى الحداثة في مفهومين أساسيين ينبنيان ويتغيران في ظل الصراع وهما: مفهوم الذاتية ومفهوم الحرية، وهذا الصراع يطال مجالات العلم والإيمان والسلطة والتشريع والعلاقة بين الأمم والطبقات والجنسين والفن والذوق وذلك دائماً لاكتساب شروط أفضل للحرية والذاتية.إن فلسفة التشريع الحديثة، مرتبطة بالعقلية المدنية وهذه مكنونة في الضمير الجماعي، وينطق باسمها مباشرة أو انطواء التراث الثقافي الوضعي، أي ذاك الذي وضعه الشرع، أو ضبطه الفقه، أو نظره المتكلمون.ومن هذا التراث الوضعي تستخرج الفلسفة التشريعية والتصورات العامة حول السياسة والحق والعدل والتنزيل والعقل والعنف وغير ذلك. عرضألة ليست كلها عالقة بإخفاق الدولة التحديثية وفي تحولها إلى دولة حديثة.إن دولة القانون وحقوق الإنسان هي حجر محك الدولة الحديثة. إذ يتجسد محتوى الحداثة في مفهومين أساسيين ينبنيان ويتغيران في ظل الصراع وهما: مفهوم الذاتية ومفهوم الحرية، وهذا الصراع يطال مجالات العلم والإيمان والسلطة والتشريع والعلاقة بين الأمم والطبقات والجنسين والفن والذوق... وذلك دائماً لاكتساب شروط أفضل للحرية والذاتية.إن فلسفة التشريع الحديثة، مرتبطة بالعقلية المدنية وهذه مكنونة في الضمير الجماعي، وينطق باسمها مباشرة أو انطواء التراث الثقافي الوضعي، أي ذاك الذي وضعه الشرع، أو ضبطه الفقه، أو نظره المتكلمون.ومن هذا التراث الوضعي تستخرج الفلسفة التشريعية والتصورات العامة حول السياسة والحق والعدل والتنزيل والعقل والعنف وغير ذلك.,236,2008,دار نلسن,غلاف عادي,الفلسفة,فلسفة العلوم,56.25
10506,تاريخ علم الجمال؛ من خلال الفلسفة والنقد والفن,ريمون باير,"كان مقدراً لهذا الكتاب أن يبصر النور قبل سنوات، ولكن حالت الظروف القاهرة دون ذلك. وها نحن اليوم نقدمه إلى القارئ العربي بفرح واعتزاز.هذا ا لكتاب هو الترجمة العربية الكاملة والمتقنة، الجديرة بالتنويه، كما أنجزها الدكتور ميشال عاصي والدكتور ميشال سليمان للكتاب الموسوعي ""تاريخ علم الجمال"" من خلال النقد والفلسفة والفن لـ""ريمون باير""، أستاذ مادة الجمالية في جامعة السوربون-باريس.وتاريخ علم الجمال يفيض هنا عن مجراه ليدخل في أرض الفلسفة وتاريخ الفن والنقد والفكر، وكذلك في الرموز والأسماء والتيارات والمراحل والاتجاهات، ومنطلقاً من مرحلة ما قبل التاريخ والعصور الإغريقية وصولاً إلى القرن العشرين.تاريخ الجمالية هنا هو تاريخ الجماليين، نظرياتهم وأفكارهم وقيمهم، وأيضاً التأمل العميق في الفن والجمال عبر العصور.إنه الكتاب المرجع في لغة عربية مشرقة أنجزها الباحثان بتؤدة وأمانة وتعمق ليحقق هذا العمل وجوده، وليغدو مرجعاً بين أيدي العرب، طلاباً وباحثين ومهتمين، خاصة أن المكتبة العربية تتسع لهذه المراجع وتفتح لها قلبها وفكرها، كل ذلك، ولأجل كما كتب مرة الراحل ميشال عاصي ""ثقافة مبحرة مع الحياة"". عرضلكتاب هو الترجمة العربية الكاملة والمتقنة، الجديرة بالتنويه، كما أنجزها الدكتور ميشال عاصي والدكتور ميشال سليمان للكتاب الموسوعي ""تاريخ علم الجمال"" من خلال النقد والفلسفة والفن لـ""ريمون باير""، أستاذ مادة الجمالية في جامعة السوربون-باريس.وتاريخ علم الجمال يفيض هنا عن مجراه ليدخل في أرض الفلسفة وتاريخ الفن والنقد والفكر، وكذلك في الرموز والأسماء والتيارات والمراحل والاتجاهات، ومنطلقاً من مرحلة ما قبل التاريخ والعصور الإغريقية وصولاً إلى القرن العشرين.تاريخ الجمالية هنا هو تاريخ الجماليين، نظرياتهم وأفكارهم وقيمهم، وأيضاً التأمل العميق في الفن والجمال عبر العصور.إنه الكتاب المرجع في لغة عربية مشرقة أنجزها الباحثان بتؤدة وأمانة وتعمق ليحقق هذا العمل وجوده، وليغدو مرجعاً بين أيدي العرب، طلاباً وباحثين ومهتمين، خاصة أن المكتبة العربية تتسع لهذه المراجع وتفتح لها قلبها وفكرها، كل ذلك، ولأجل كما كتب مرة الراحل ميشال عاصي ""ثقافة مبحرة مع الحياة"".",606,2017,عويدات للنشر والطباعة,غلاف كرتوني,الفلسفة,فلسفة العلوم,18.75
10507,زدني علماً : فلسفة التربية,أوليفيه ريبول,إن التربية وفلسفتها من المواضيع التي تستأثر باهتمام الكثير من المؤلفين والقراء على السواء.ولقد شاء مؤلف هذا الكتيب أوليفيه ربول، وهو استاذ الفلسفة في جامعة مونتريال بكندا، ان يلقي الأضواء على مشكلة فلسفة التربية متوخيا بذلك موضمعية الباحث وواقعية المعلم. عرضفي جامعة مونتريال بكندا، ان يلقي الأضواء على مشكلة فلسفة التربية متوخيا بذلك موضمعية الباحث وواقعية المعلم.,160,2008,الدار العربية للعلوم ناشرون,غلاف ورقي,الفلسفة,فلسفة العلوم,33.75
