,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
50, الفوائد العاجية, علي نور الدين, None,330,0, دار القارئ, غلاف فني,الأدب والخيال,الأدب الإسلامي,30.0
51, أشهر آفات اللسان وبآخره فضيلتا الصدق وحفظ اللسان, سعيد السداوي, كتاب في الأخلاق والأداب الإسلامية فعرف بالغيبة والنميمة والكذب والجدال والسخرية والاستهزاء والغش والسباب وشرحها وذكر امثلة عليها وذكر الأحاديث الت ى تنهي عنها وكذلك تناول موضوع الصدق وحفظ اللسان وغير ذلك عرضى تنهي عنها وكذلك تناول موضوع الصدق وحفظ اللسان وغير ذلك,640,2017, دار الكتب العلمية, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,56.25
52, تحت عرش الرحمن، قصائد في الأخوة, ياسر العيتي, الأخوة نفحة من نفحات الجنة، وضعها الله في الأرض..، ليتنسمها المتحابون في جلاله. وهذه القصائد..، كتبها أخ أبعدته الغربة عن إخوانه وأحبابه، فانطل ق يشدو..، هاربا من هجير الغربة، إلى ظلال الأخوة. عرضق يشدو..، هاربا من هجير الغربة، إلى ظلال الأخوة.,172,0, المكتب الإسلامي للطباعة والنشر, غلاف عادي,الأدب والخيال,الأدب الإسلامي,13.13
53, في أروقة القيادة الأكاديمية, محمد  الشهري, None,304,2016, دار الحضارة للنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,34.88
54, صوت الناعي في رثاء أهل البيت, جليل الكربلائي, None,448,0, دار الحوراء للطباعة والنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,37.5
55, تدبر سورة الكهف, عقيل الشمري, None,109,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,12.0
56, من ومن في حكم أمير المؤمنين عليه السلام, علي الأيوب الياروني, None,160,0, دار المرتضى للطباعة والنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,11.25
58, عن الفساد وسنينه, فهمى هويدى, إزاء تعدد مظاهر الفساد التى تنشرها الصحف، وتلوكها الألسن طول الوقت، فقد بت مقتنعا بأنك إذا رفعت الغطاء عن أى مرفق فى الدولة، فسوف تفوح منه على الف ور رائحة الفساد، قوية ونفاذة. لا أستثنى من ذلك مرفقا فى قطاعات الإنتاج أو الخدمات. الأمر الذى يثير الكثير من عرضور رائحة الفساد، قوية ونفاذة. لا أستثنى من ذلك مرفقا فى قطاعات الإنتاج أو الخدمات. الأمر الذى يثير الكثير من,272,2009, دار الشروق – مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,26.25
59, رعاية الحيوان في السنة النبوية (6), محمد بن عبد الرزاق اسود, None,165,2017, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,22.5
61, أسامه عبدالرحمن شاعراً, نداء بنت محمد الحقباني, دراسة نقدية تتناول شعر الشاعر الكبير أسامه عبدالرحمن بين هواجس وطنية وعواطف إنسانية، أسلوب أسامه عبدالرحمن الشعري بين التشكيل والرؤيا، عناصر البنا ء الفني في شعره. عرضء الفني في شعره.,326,2017, تارة الدولية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,31.99
63, قواعد تدبر القرآن وتطبيقات على قصار المفصل, عقيل   الشمري, None,117,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,12.0
