title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
عروس تزف إلى قبرها وقصص أخرى,عروس تزف إلى قبرها ، الصورة الأخرى ، اللطمة ، الأرملة الساحرة ، الملائكة لا تظهر في أورروبا ، دجاجة على الفحم ، البخيل ، الخائف التائب ، ياسمين ،  صراع ، قطرات من دموع ، هذه المجموعة القصصية التي بين يدي القارىء كتبها أدباء كبار وعلماء أجلاء كلهم صاحب فكر عرضصراع ، قطرات من دموع ، هذه المجموعة القصصية التي بين يدي القارىء كتبها أدباء كبار وعلماء أجلاء كلهم صاحب فكر,,,مصطفى الرافعي,مصطفى-الرافعي,أدب قصصي / عام, غلاف ورقي,
تدبر المفصل,None,,,مركز التدبر للإستشارات التربوية والتعليمية,مركز-التدبر-للإستشارات-التربوية-والتعليمية,أدب قصصي / عام, غلاف ورقي,
رقش,مجموعة ما قراءه تميم خلال سنتين في التراث العربي وتحديداً الأدبي ف إنتقاء منه ما أعجبه من الحِكم والقصص وأقوال عن فلاسفة وآخرين، أحاديث نبوية عن ا لمصطفى سيد المرسلين، خُطب للصحابة والخُلفاء الراشدين، وقصائد حب وصداقة ورثاء لأشهر الشعراء والعشاق. عرضلمصطفى سيد المرسلين، خُطب للصحابة والخُلفاء الراشدين، وقصائد حب وصداقة ورثاء لأشهر الشعراء والعشاق.,,,تميم التميمي,تميم-التميمي,أدب قصصي / عام, غلاف ورقي,
5555 حكمة للإمام علي عليه السلام,None,,,حسين البلغى البحراني,حسين-البلغى-البحراني,أدب قصصي / عام, غلاف كرتوني,
جمعية العلماء بدمشق,None,,,الشيخ محمد كامل القصاب,الشيخ-محمد-كامل-القصاب,أدب قصصي / عام, غلاف ورقي,
المنح المكية في شرح الهمزية,None,,,أحمد بن محمد بن حجر الهيتمي,أحمد-بن-محمد-بن-حجر-الهيتمي,أدب قصصي / عام, غلاف فني,
مصر في عيون العريفي,من تكون مصر التى يعرفها العريفي ويجهلها المصريون؟ هل صورة مصر في عيون العريفي اختلفت كثيرا عن صورتها فى عيون المصريين؟ هل يعرف المصريون قد ر مصر كما يعرفه العريفي؟ وهل حبه لمصر فاق حب المصريين لها؟ وهل خوفه عليا فاق خوفهم عليها؟ هل حقا فوجئنا بقيمة مصر بعد عرضر مصر كما يعرفه العريفي؟ وهل حبه لمصر فاق حب المصريين لها؟ وهل خوفه عليا فاق خوفهم عليها؟ هل حقا فوجئنا بقيمة مصر بعد,,,طارق أبو هشيمه,طارق-أبو-هشيمه,أدب قصصي / عام, غلاف ورقي,
ديوان الحنين,None,,,حسين البوخضر,حسين-البوخضر,أدب قصصي / عام, غلاف كرتوني,
معلم خط النسخ,None,,,منصور العواجي,منصور-العواجي,أدب قصصي / عام, غلاف ورقي,
"""فتاة القيروان""","روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""فتاة القيروان"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تأريخ ظهور دولة العبيديين أو الفاطميين في ""إفريقية"". سرد ومناقب ""المعز لدين الله"" وقائده ""جوهر"" إلى فتح ""مصر"" وإخراجها من الدولة ""الإخشيدية"" سنة 358هـ. ويتخلل ذلك وصف برابرة ""إفريقية"" وعاداتهم وأخلاقهم، وبيان الأسباب الاجتماعية التي ساعدت على ذلك الفتح، ولا سيما انهماك الإخشيديين في الترف واستبدادهم وانقسامهم، واتحاد جند الفاطميين ومحافظتهم على مناقب البادية. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""فتاة القيروان"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تأريخ ظهور دولة العبيديين أو الفاطميين في ""إفريقية"". سرد ومناقب ""المعز لدين الله"" وقائده ""جوهر"" إلى فتح ""مصر"" وإخراجها من الدولة ""الإخشيدية"" سنة 358هـ. ويتخلل ذلك وصف برابرة ""إفريقية"" وعاداتهم وأخلاقهم، وبيان الأسباب الاجتماعية التي ساعدت على ذلك الفتح، ولا سيما انهماك الإخشيديين في الترف واستبدادهم وانقسامهم، واتحاد جند الفاطميين ومحافظتهم على مناقب البادية.",,,جرجي زيدان,جرجي-زيدان,أدب قصصي / عام, غلاف عادي,
نهج البلاغة;فرنسي-عربي,None,,,علي بن أبي طالب,علي-بن-أبي-طالب,أدب قصصي / عام, غلاف فني,
الانقلاب العثماني,"روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""الانقلاب العثماني"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف لأحوال الأحرار العثمانيين وجمعياتهم السرية، وما قاسوه في طلب الدستور. ووصف لـ""يلدز"" وقصورها وحدائقها و""عبد الحميد"" وجواسيسه وأعوانه، وسائر أحواله إلى فوز جمعية الاتحاد والترقي بنيل الدستور في 23 تموز (يوليو) سنة 1908. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""الانقلاب العثماني"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف لأحوال الأحرار العثمانيين وجمعياتهم السرية، وما قاسوه في طلب الدستور. ووصف لـ""يلدز"" وقصورها وحدائقها و""عبد الحميد"" وجواسيسه وأعوانه، وسائر أحواله إلى فوز جمعية الاتحاد والترقي بنيل الدستور في 23 تموز (يوليو) سنة 1908.",,,جرجي زيدان,جرجي-زيدان,أدب قصصي / عام, غلاف عادي,
الطيبات من الرزق,None,,,ابي ذر القلموني,ابي-ذر-القلموني,أدب قصصي / عام, غلاف ورقي,
إيقاع الفكر,None,,,أحمد الوائلي,أحمد-الوائلي,أدب قصصي / عام, غلاف فني,
ديوان عبق من كربلاء,None,,,محمد رضا الموسوي القزويني,محمد-رضا-الموسوي-القزويني,أدب قصصي / عام, غلاف كرتوني,
تدبر سورة النور,None,,,ناصر  العمر,ناصر-العمر,أدب قصصي / عام, غلاف ورقي,
قراءات تحليلية في خطاب تمبكتو,None,,,معمر القذافي,معمر-القذافي,أدب قصصي / عام, غلاف عادي,
مشكلة خلق القرآن عند المتكلمين,None,,,عادل الشيرواني,عادل-الشيرواني,أدب قصصي / عام, غلاف كرتوني,
